"CountName","Date","State","Lat","Lng","ScientificName","NumSeen","Parties","Party_Hours"
"GuadalupeCanyonAZNM",1986-08-04,"AZ",31.33,-109.07,"Danaus plexippus",1,"2",10
"HagermanID",2005-07-17,"ID",42.8196,-114.8988,"Danaus plexippus",2,"1",6
"HagermanID",2006-06-18,"ID",42.8196,-114.8988,"Danaus plexippus",1,"unk",6
"HagermanID",2007-07-20,"ID",42.8196,-114.8988,"Danaus plexippus",5,"unk",8
"HastingsReservationCA",1998-06-29,"CA",36.336,-121.4993,"Danaus plexippus",8,"2",8.5
"HastingsReservationCA",2000-06-10,"CA",36.336,-121.4993,"Danaus plexippus",1,"3",13.3
"HastingsReservationCA",2001-06-10,"CA",36.336,-121.4993,"Danaus plexippus",3,"3",11.8
"HastingsReservationCA",2003-06-21,"CA",36.336,-121.4993,"Danaus plexippus",1,"4",15.8
"HastingsReservationCA",2004-06-11,"CA",36.336,-121.4993,"Danaus plexippus",4,"2",11.8
"HastingsReservationCA",2005-06-28,"CA",36.336,-121.4993,"Danaus plexippus",6,"2",13
"HastingsReservationCA",2008-06-07,"CA",36.336,-121.4993,"Danaus plexippus",7,"3",17.5
"HastingsReservationCA",2010-06-04,"CA",36.336,-121.4993,"Danaus plexippus",1,"3",17
"HastingsReservationCA",2011-06-14,"CA",36.336,-121.4993,"Danaus plexippus",2,"5",26
"HastingsReservationCA",2012-06-18,"CA",36.336,-121.4993,"Danaus plexippus",8,"3",17
"HastingsReservationCA",2013-06-17,"CA",36.336,-121.4993,"Danaus plexippus",3,"3",13
"HastingsReservationCA",2014-06-08,"CA",36.336,-121.4993,"Danaus plexippus",5,"3",17.5
